,Item Name,Price
67,ASUS RTX 2070 OC Edition Dual Mini 8GB GPU / Graphics Card,£160.00
68,ASUS Nvidia GTX 1060 DUAL-GTX1060-06G Graphics Card,£44.99
69,New listing2 GeForce GTX285 graphics cards And Sound Blaster Card,£16.50
70,Dell AMD Radeon R7 350X 4 GB DVI/DisplayPort PCIE Low Profile Graphics Card,£29.99
71,New listingEVGA GeForce RTX 2080 TI Black Edition 11GB GDDR6 Graphics Card,£265.00
72,New listingGIGABYTE GeForce RTX 3070 GAMING OC 8GB GDDR6 Graphics Card -3,£289.99
73,New listingGigabyte Nvidia GeForce RTX 4070 Eagle OC 12GB Raytracing VR DLSS Graphics card,£469.99
74,EVGA GeForce GT 1030 2GB GDDR5 Passive Cooling Graphics Card,£38.99
75,ASUS Radeon (128 MB) (A9250TD128MA) AGP Graphics CardCharity item,£0.99
76,NVIDIA GTX Titan X 12GB Maxwell Graphics Card for Apple Mac Pro 5.1 PG600,£85.00
77,Nvidia Quadro K1200  4GB GDDR5 Graphics Card 4x Mini DisplayPort - 4 screens,£44.99
78,SAPPHIRE Nitro AMD Radeon RX 570 8GB GDDR5 Graphics Card SKU# 11266-09,£50.00
79,Gigabyte Graphics Card GeForce RTX 4060 EAGLE OC 8G,£406.99
80,Gigabyte Graphics Card GeForce RTX 4060 AERO OC 8G,£441.15
